Index,Names in References,SMILES,SMILES withous Bridge Linkers,Scaffolds,Kinase Targets,Types,Binding Affinities,References
MKI-69,21d,C1(NC2=CC=C(OCCN3CCCCC3)C4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC=C(OCCN3CCCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.015/0.034,10.1021/jm200326p
MKI-70,21e,O=C1CCCN1CCOC(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4,O=C1CCCN1CCOC(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.022/0.14,10.1021/jm200326p
MKI-71,21f,O=C(C1)CCN1CCOC(C2=C3)=CC=C3NC4=NC=CC(C5=CC(COC/C=C/COC2)=CC=C5)=N4,O=C(C1)CCN1CCOC(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.022/0.067,10.1021/jm200326p
MKI-72,21h,C1(NC2=CC(OCCN3CCCC3)=CC4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC(OCCN3CCCC3)=CC=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.048/0.022,10.1021/jm200326p
MKI-73,21i,C1(NC2=CC(OCCN3CCOCC3)=CC4=C2)=NC=CC(C5=CC(COC/C=C/COC4)=CC=C5)=N1,C1(NC2=CC(OCCN3CCOCC3)=CC=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.096/0.019,10.1021/jm200326p
MKI-74,21k,NC1=CC2=CC(NC3=NC=CC(C4=CC(COC/C=C/COC2)=CC=C4)=N3)=C1,NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.035/0.052,10.1021/jm200326p
MKI-75,21l,O=C(NC1=CC2=CC(NC3=NC=CC(C4=CC(COC/C=C/COC2)=CC=C4)=N3)=C1)CCN(CC)CC,O=C(NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1)CCN(CC)CC,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.044/0.078,10.1021/jm200326p
MKI-76,22a,COC1=C(OCCN2CCCC2)C3=CC(NC4=NC=CC(C5=CC(COC/C=C/COC3)=CC=C5)=N4)=C1,COC1=C(OCCN2CCCC2)C=CC(NC3=NC=CC(C4=CC=CC=C4)=N3)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.036/0.006,10.1021/jm200326p
MKI-77,22b,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C4=C2)N=C1C5=CC(COC/C=C/COC4)=CC=C5,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1C4=CC=CC=C4,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.007/0.019,10.1021/jm200326p
MKI-78,22c,FC1=CN=C(NC2=CC=C(OCCN3CCCC3)C4=C2)N=C1C5=CC(COC/C=C/COC4)=CC=C5,FC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1C4=CC=CC=C4,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.017/0.015,10.1021/jm200326p
MKI-79,22d,COC1=CC=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,COC1=CC=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.33/0.012,10.1021/jm200326p
MKI-80,22e,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C5=C3)=NC=C2)=CC(COC/C=C/COC5)=C1,FC1=CC(C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2)=CC=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.024/0.008,10.1021/jm200326p
MKI-81,22f,COC(C=C1)=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,COC(C=C1)=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.019/0.092,10.1021/jm200326p
MKI-82,22g,FC(C=C1)=C(COC/C=C/COC2)C=C1C3=NC(NC4=CC=C(OCCN5CCCC5)C2=C4)=NC=C3,FC(C=C1)=CC=C1C2=NC(NC3=CC=C(OCCN4CCCC4)C=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,JAK2/FLT3 (IC50 (μM)),Type-I,0.025/0.040,10.1021/jm200326p
MKI-83,E6201,OC1=C(C(O[C@@H](C)[C@H](C)/C=C\C([C@@H](O)[C@@H](O)C/C=C/2)=O)=O)C2=CC(NCC)=C1,OC1=C(C=CC(NCC)=C1)C=O,OC1=C(C=CC=C1)C=O,MEK1 (IC50(nM)),Type-I,5.2,10.1124/jpet.109.156554
MKI-84,2,[H]/C1=C\CNCC2=CC(NC3=NC=CC(C4=CC(OCC1[H])=CC=C4)=N3)=CC=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.021±0.012/0.11±0.03/0.15±0.08,10.1007/s00894-012-1528-7
MKI-85,3,[H]/C5=C\CNCC6=CC(NC7=NC=CC(C8=CC(OCC5[H])=CC=C8)=N7)=CC=C6,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.014±0.004/0.32±0.10/0.17±0.01,10.1007/s00894-012-1528-7
MKI-86,5(SB1317; TG02; Zotiraciclib),CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.013±0.004/0.056±0.026/0.073±0.017,10.1007/s00894-012-1528-7
MKI-87,6,CN(C5)CC(C6)C6CCOC7=CC=CC(C8=NC(NC9=CC=CC5=C9)=NC=C8)=C7,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.041±0.001/0.041±0.009/0.28±0.03,10.1007/s00894-012-1528-7
MKI-88,8,O=C(N1)C/C=C/CC(NC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2)=O,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.17±0.02/0.12±0.03/0.14±0.01,10.1007/s00894-012-1528-7
MKI-89,9,C5(NC6=CC=CC7=C6)=NC=CC(C8=CC(OCC/C=C/CN7)=CC=C8)=N5,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.53±0.07/0.60±0.29/0.92±0.06,10.1007/s00894-012-1528-7
MKI-90,10,O=C(N1)CC/C=C/CCC(NC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2)=O,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.20±0.06/0.15±0.01/0.72±0.10,10.1007/s00894-012-1528-7
MKI-91,17,CC(C)N(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=CC5=C8)=NC=C7)=C6,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.036±0.017/0.042±0.006/0.090±0.02,10.1007/s00894-012-1528-7
MKI-92,21,O=C(NC(C)C)N(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.53±0.09/0.14±0.06/0.12±0.01,10.1007/s00894-012-1528-7
MKI-93,22,C5(NC6=CC=C7C8=C6)=NC=CC(C9=CC(OCC/C=C/CN(CCO7)C8)=CC=C9)=N5,CCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.095±0.001/0.080±0.024/0.13±0.01,10.1007/s00894-012-1528-7
MKI-94,24,CN(C1)C/C=C/COCC2=CC=C(S2)C3=NC(NC4=CC=C(OCCN5CCCC5)C1=C4)=NC=C3,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CS4)=N1,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CS3)=N1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.71±0.42/0.012±0.003/0.09±0.01,10.1007/s00894-012-1528-7
MKI-95,26,CN(C6)C/C=C/CCOC7=NC=CC(C8=NC(NC9=CC=CC6=C9)=NC=C8)=C7,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=NC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccncc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.022±0.002/0.31±0.01/0.26±0.01,10.1007/s00894-012-1528-7
MKI-96,29,CN(C1)C/C=C/CCOC2=C(N)C=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,NC(C=C1)=CC=C1C2=NC(NC3=CC=CC=C3)=NC=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.10±0.01/0.16±0.04/0.16±0.01,10.1007/s00894-012-1528-7
MKI-97,30,CN(C5)C/C=C/CCOC6=CC(F)=CC(C7=NC(NC8=CC=CC5=C8)=NC=C7)=C6,FC1=CC(C2=NC(NC3=CC=CC=C3)=NC=C2)=CC=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.0089±0.0011/0.030±0.006/0.16±0.01,10.1007/s00894-012-1528-7
MKI-98,32,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OC)C1=C4)=NC=C3)=C2,COC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.077±0.028/0.066±0.003/0.28±0.01,10.1007/s00894-012-1528-7
MKI-99,33,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=C(S(C=C)(=O)=O)C5=C8)=NC=C7)=C6,C=CS(C(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.022±0.003/0.44±0.11/0.10±0.01,10.1007/s00894-012-1528-7
MKI-100,34,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(N5CCOCC5)C1=C4)=NC=C3)=C2,C1(NC2=CC=C(N3CCOCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.074±0.006/0.071±0.035/0.049±0.019,10.1007/s00894-012-1528-7
MKI-101,35,CN(C6)C/C=C/CCOC7=CC=CC(C8=NC(NC9=CC=C(OCN%10CCCC%10)C6=C9)=NC=C8)=C7,C1(NC2=CC=C(OCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.25±0.11/0.035±0.004/0.056±0.024,10.1007/s00894-012-1528-7
MKI-102,36,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC(NC(C(F)(F)F)=O)=CC1=C4)=NC=C3)=C2,O=C(C(F)(F)F)NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.0079±0.0001/0.023±0.013/0.078±0.023,10.1007/s00894-012-1528-7
MKI-103,37,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC(N)=CC5=C8)=NC=C7)=C6,NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.0065±0.0001/0.019±0.010/0.050±0.012,10.1007/s00894-012-1528-7
MKI-104,38,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC(NS(C=C)(=O)=O)=CC1=C4)=NC=C3)=C2,C=CS(NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.0080±0.0003/0.14±0.04/0.018±0.001,10.1007/s00894-012-1528-7
MKI-105,39,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC(NC(N9CCOCC9)=O)=CC5=C8)=NC=C7)=C6,O=C(N1CCOCC1)NC2=CC=CC(NC3=NC=CC(C4=CC=CC=C4)=N3)=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.087±0.012/0.037±0.001/0.044±0.002,10.1007/s00894-012-1528-7
MKI-106,40,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3C)=C2,CC1=CN=C(NC2=CC=CC=C2)N=C1C3=CC=CC=C3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /FLT3/JAK2(IC50 (μM)),Type-I,0.15±0.02/0.022±0.009/0.18±0.04,10.1007/s00894-012-1528-7
MKI-107,26g,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=NC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccncc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,21/150/110,10.1021/jm201112g
MKI-108,26h,C5(NC6=CC=CC7=C6)=NC=CC(C8=CC(OCC/C=C/CNC7)=NC=C8)=N5,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,13/73/56,10.1021/jm201112g
MKI-109,26j,CN(CC/C=C/COC1)C2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,99/230/310,10.1021/jm201112g
MKI-110,26k,C5(NC6=CC=CC7=C6)=NC=CC(C8=CC(OCC/C=C/CN(C9CC9)C7)=CC=C8)=N5,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,36/90/42,10.1021/jm201112g
MKI-111,26q,OCN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=CC1=C4)=NC=C3)=C2,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,100/720/350,10.1021/jm201112g
MKI-112,26r,O=C(CNC(C)C)N(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=CC5=C8)=NC=C7)=C6,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CC=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,530/120/140,10.1021/jm201112g
MKI-113,27a,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OC)C1=C4)=NC=C3)=C2,COC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,77/280/66,10.1021/jm201112g
MKI-114,27b,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=C(Cl)C5=C8)=NC=C7)=C6,ClC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,24/82/77,10.1021/jm201112g
MKI-115,27c,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OC(F)(F)F)C1=C4)=NC=C3)=C2,FC(OC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2)(F)F,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,57/150/160,10.1021/jm201112g
MKI-116,27d,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=C(OCCOC)C5=C8)=NC=C7)=C6,COCCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,110/62/25,10.1021/jm201112g
MKI-117,27e,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(S(C)(=O)=O)C1=C4)=NC=C3)=C2,CS(C(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,22/100/440,10.1021/jm201112g
MKI-118,27g,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=C(OCCS(CC)(=O)=O)C5=C8)=NC=C7)=C6,CCS(CCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,170/110/93,10.1021/jm201112g
MKI-119,27h,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OCC(N5CCCC5)=O)C1=C4)=NC=C3)=C2,O=C(N1CCCC1)COC(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,390/140/150,10.1021/jm201112g
MKI-120,27i,CN(C6)C/C=C/CCOC7=CC=CC(C8=NC(NC9=CC=C(N%10CCOCC%10)C6=C9)=NC=C8)=C7,C1(NC2=CC=C(N3CCOCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,74/49/71,10.1021/jm201112g
MKI-121,27j,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OCCN(CC)CC)C1=C4)=NC=C3)=C2,CCN(CC)CCOC(C=C1)=CC=C1NC2=NC=CC(C3=CC=CC=C3)=N2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,300/48/30,10.1021/jm201112g
MKI-122,27k,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC=C(OCCN9CCCC9)C5=C8)=NC=C7)=C6,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,250/56/35,10.1021/jm201112g
MKI-123,27n,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OCCN5CCOCC5)C1=C4)=NC=C3)=C2,C1(NC2=CC=C(OCCN3CCOCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,300/120/40,10.1021/jm201112g
MKI-124,27o,CN(C6)C/C=C/CCOC7=CC=CC(C8=NC(NC9=CC=C(OCCN%10CCN(C)CC%10)C6=C9)=NC=C8)=C7,CN(CC1)CCN1CCOC(C=C2)=CC=C2NC3=NC=CC(C4=CC=CC=C4)=N3,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,900/220/250,10.1021/jm201112g
MKI-125,27p,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC=C(OCCN5CCCCC5)C1=C4)=NC=C3)=C2,C1(NC2=CC=C(OCCN3CCCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,260/62/45,10.1021/jm201112g
MKI-126,27m,N#CCN(C6)C/C=C/CCOC7=CC=CC(C8=NC(NC9=CC=C(OCCN%10CCCC%10)C6=C9)=NC=C8)=C7,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC=CC=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,310/150/29,10.1021/jm201112g
MKI-127,27r,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC(NC(C(F)(F)F)=O)=CC1=C4)=NC=C3)=C2,O=C(C(F)(F)F)NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,8/78/23,10.1021/jm201112g
MKI-128,27s,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC(N)=CC5=C8)=NC=C7)=C6,NC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,7/50/19,10.1021/jm201112g
MKI-129,27t,CN(C1)C/C=C/CCOC2=CC=CC(C3=NC(NC4=CC(NCS(CC)(=O)=O)=CC1=C4)=NC=C3)=C2,CCS(CNC1=CC=CC(NC2=NC=CC(C3=CC=CC=C3)=N2)=C1)(=O)=O,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,8/18/140,10.1021/jm201112g
MKI-130,27u,CN(C5)C/C=C/CCOC6=CC=CC(C7=NC(NC8=CC(NC(N9CCOCC9)=O)=CC5=C8)=NC=C7)=C6,O=C(N1CCOCC1)NC2=CC=CC(NC3=NC=CC(C4=CC=CC=C4)=N3)=C2,c1ccc(cc1)Nc1nccc(n1)c1ccccc1,CDK2 /JAK2/FLT3(IC50 (nM)),Type-I,87/44/37,10.1021/jm201112g
MKI-131,TPX-0046,O=C(NC[C@H](C)OC(N=CC(F)=C1)=C1C2)C3=C4N(N=C3)C=C5C(N2[C@H](CCC6)[C@H]6O5)=N4,FC1=CC(CN2C3=NC4=CC=NN4C=C3O[C@@H]5[C@H]2CCC5)=CN=C1,C1CC2C(C1)N(Cc1cccnc1)c1c(O2)cn2c(n1)ccn2,RET/Src(IC50 (nM)),Type-I,<10nM,10.21203/rs.3.rs-1277120/v1
MKI-132,13e,CN(C1)C/C=C/CCN2C3=C(C=C2)C=CC(C4=NC(NC5=CC=CC1=C5)=NC=C4)=C3,C1(NC2=CC=CC=C2)=NC=CC(C3=CC(NC=C4)=C4C=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccc2c(c1)[nH]cc2,JAK2/FLT3 (IC50 (nM)),Type-I,150/73,10.1021/jm201454n
MKI-133,13f,C6(NC7=CC=CC8=C7)=NC=CC(C9=CC(COC/C=C/COC8)=CN=C9)=N6,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CN=C3)=N1,c1ccc(cc1)Nc1nccc(n1)c1cccnc1,JAK2/FLT3 (IC50 (nM)),Type-I,930/560,10.1021/jm201454n
MKI-134,13g,CN(C1)C/C=C/COCC2=CC=C(O2)C3=NC(NC4=CC=CC1=C4)=NC=C3,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CO3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccco1,JAK2/FLT3 (IC50 (nM)),Type-I,820/770,10.1021/jm201454n
MKI-135,13h,C5(NC6=CC=CC7=C6)=NC=CC(C8=CC=C(COC/C=C/COC7)O8)=N5,C1(NC2=CC=CC=C2)=NC=CC(C3=CC=CO3)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccco1,JAK2/FLT3 (IC50 (nM)),Type-I,220/620,10.1021/jm201454n
MKI-136,14a,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C4=C2)N=C1C5=CC(N(C/C=C/COC4)C=C6)=C6C=C5,C1(NC2=CC=C(OCCN3CCCC3)C=C2)=NC=CC(C4=CC(NC=C5)=C5C=C4)=N1,c1ccc(cc1)Nc1nccc(n1)c1ccc2c(c1)[nH]cc2,JAK2/FLT3 (IC50 (nM)),Type-I,63/79,10.1021/jm201454n
MKI-137,14b,C7(NC8=CC=C(OCCN9CCCC9)C%10=C8)=NC=CC(C%11=CC(N(C/C=C/COC%10)C=C%12)=C%12C=C%11)=N7,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1C4=CC(NC=C5)=C5C=C4,c1ccc(cc1)Nc1nccc(n1)c1ccc2c(c1)[nH]cc2,JAK2/FLT3 (IC50 (nM)),Type-I,370/17,10.1021/jm201454n
